funder,count,type,country,established
Innovalia (Spain),1,Company,Spain,2000
Innovascience,1,Facility,France,2013
National Council for Tertiary Education,1,Government,Ghana,1993
Innovate UK,1,Government,United Kingdom,2007
National Council for Science and the Environment,1,Nonprofit,United States,1990
Bioline - Consultoria e Engenharia Ambiental,1,Other,Brazil,
Biolitec (Germany),1,Company,Germany,1988
National Council Of Educational Research And Training,1,Government,India,1961
National Cooperative for the Disposal of Radioactive Waste (Switzerland),1,Company,Switzerland,1972
Innovatech (United States),1,Company,United States,1996
CatScI (United Kingdom),1,Company,United Kingdom,2010
National Committee on United States China Relations,1,Nonprofit,United States,1966
"National Commision for Science, Technology and Innovation",1,Government,Kenya,2013
National Coastal Tourism Academy,1,Other,United Kingdom,2013
Innovative Medical Partners (France),1,Other,France,
Castrol (United Kingdom),1,Company,United Kingdom,1899
National Clinical Research,1,Facility,United States,1994
Caspr Biotech,1,Facility,United States,2018
National Centre of Scientific Research Demokritos,1,Facility,Greece,1959
National Centre for Technology and Food Safety,1,Nonprofit,Spain,1981
Biological Control of Insects Research Laboratory,1,Facility,United States,
National Centre for Social research,1,Facility,Greece,1959
Innovation Norway (Norway),1,Company,Norway,2004
Innovation Pathways,1,Company,United States,2011
National Centre for Radio Astrophysics,1,Facility,India,1963
National Centre for Nuclear Research,1,Government,Poland,1955
National Centre for Infectious Diseases,1,Healthcare,Singapore,2019
National Centre for Immunisation Research & Surveillance,1,Facility,Australia,1997
Innovative Design Labs (United States),1,Company,United States,2010
BioTechnica (United States),1,Company,United States,1989
Indigenous Peoples Task Force,1,Other,United States,
Biomedica Management (United States),1,Company,United States,1999
Independent Production Fund,1,Nonprofit,United States,1987
National Laboratory for High Performance Computing,1,Facility,Chile,
Indian Academy of Sciences,1,Government,India,1934
National Laboratory of Frascati,1,Facility,Italy,1954
India International Centre,1,Other,India,1960
National Library Board,1,Government,Singapore,1995
National Library of Colombia,1,Archive,Colombia,1777
National Livestock Breeding Center,1,Government,Japan,1872
Inco Engineering (Czechia),1,Company,Czechia,1994
Independent Institute for Environmental Issues,1,Nonprofit,Germany,1990
Indear (Argentina),1,Company,Argentina,2000
BioEnergetics (United States),1,Company,United States,2011
BioCruces Health research Institute,1,Nonprofit,Spain,2008
BioBag (Norway),1,Company,Norway,1959
Bio4Dreams (Italy),1,Company,Italy,2017
Indian Air Force,1,Government,South Africa,1932
National Kidney Foundation Singapore,1,Nonprofit,Singapore,1969
National Italian American Foundation,1,Nonprofit,United States,1975
National Iranian Oil Company (Iran),1,Company,Iran,1951
Indian Association for Cancer Research,1,Other,India,1980
National Instruments (United States),1,Company,United States,1976
Indian Centre for Space Physics,1,Nonprofit,India,1999
Indian Council of Agricultural Research,1,Government,India,1929
National Institute on Population Medical Genetics,1,Facility,Brazil,
BioInvent (Sweden),1,Company,Sweden,1983
National Institute on Drug Abuse,1,Facility,United States,1974
Indian Council of Social Science Research,1,Facility,India,1969
National Institute of Virology,1,Facility,India,1952
"National Institute of Technology, Kagoshima College",1,Education,Japan,1963
"National Institute of Technology, Hiroshima College",1,Education,Japan,1898
National Institute of Technology Rourkela,1,Education,India,1961
National Institute of Statistics,1,Facility,Italy,1926
Incon Eletrônica (Brazil),1,Company,Brazil,1987
Caucaseco Scientific Research Center,1,Facility,Colombia,2004
BioSystem (Germany),1,Company,Germany,1981
National Osteoporosis Foundation,1,Other,United States,1984
National Nuclear Security Administration,1,Government,United States,2000
National Nutrition and Food Technology Research Institute,1,Other,Iran,1993
ImmunoPrecise (Canada),1,Company,Canada,1989
Imerys (Germany),1,Company,Germany,1880
Bio-Bras,1,Education,Brazil,1997
Imerys (France),1,Company,France,1880
Bio S&T (Canada),1,Company,Canada,1997
Bio-Works (Sweden),1,Company,Sweden,2006
National Park Meshera,1,Archive,Russia,1992
Bio Products Laboratory (United Kingdom),1,Company,United Kingdom,1954
Bio Molecular Technology (United States),1,Company,United States,
Bio Controle (Brazil),1,Company,Brazil,1997
National Partnership for Environmental Technology Education,1,Nonprofit,United States,1991
ImagineIF Libraries,1,Other,United States,1955
National Nuclear Energy Agency of Indonesia,1,Facility,Indonesia,1958
CeNTI (Portugal),1,Company,Portugal,2006
Impact Clean Power Technology (Poland),1,Company,Poland,2011
Impact Research and Development Organization,1,Nonprofit,Kenya,2003
Imperial Consultants,1,Company,United Kingdom,1990
National Museums Northern Ireland,1,Archive,United Kingdom,
National Museum of Wildlife Art,1,Archive,United States,1987
Bio-Nucleonics (United States),1,Company,United States,1994
Bio-Quick (United States),1,Company,United States,1999
National Museum of Ireland,1,Archive,Ireland,1877
InXsol (United States),1,Company,United States,1997
Bio-Rad (United States),1,Company,United States,1952
National Museum of American History,1,Archive,United States,1964
National Multiple Sclerosis Society,1,Nonprofit,United States,1946
Cayetano Heredia University,1,Education,Peru,1961
Inaq (Norway),1,Company,Norway,2000
Inatura,1,Archive,Austria,2003
Indian Drugs and Pharmaceuticals Limited,1,Company,India,1961
"National Institute of Science, Technology and Development Studies",1,Facility,India,1973
National Institute of Science and Technology in Regenerative Medicine,1,Facility,Brazil,
National Institute of Aquatic Toxicology,1,Facility,Brazil,
National Institute of Animal Health,1,Facility,Japan,1891
Indiana Spine Group,1,Healthcare,United States,
National Institute of Animal Science,1,Facility,South Korea,1906
National Institute of Animal Sciences,1,Facility,Vietnam,1952
Indiana Minority Health Coalition,1,Healthcare,United States,1992
Indiana Clinical and Translational Sciences Institute,1,Government,India,2008
National Institute of Arthritis and Musculoskeletal and Skin Diseases,1,Facility,United States,1950
National Institute of Science and Technology for Structural Biology and Bioimaging,1,Facility,Brazil,1970
Catholic University of Eastern Africa,1,Education,Kenya,1984
Catholic University of Toulouse,1,Education,France,1877
National Institute of Biomedical Research,1,Government,Democratic Republic of the Congo,1984
National Institute of Cancer Research and Hospital,1,Healthcare,Bangladesh,1982
National Institute of Child Health,1,Healthcare,Pakistan,1962
Indian Land Tenure Foundation,1,Nonprofit,United States,1990
BioScientia (Poland),1,Company,Poland,
Indiana State Library,1,Archive,India,1934
Indiana State University,1,Education,India,1865
National Institute of Advanced Technologies of Brittany,1,Education,France,1971
National Institute for Staff and Organizational Development,1,Other,United States,1978
Catholic University of Cordoba,1,Education,Argentina,1956
"National Institute for Research and Development in Forestry ""Marin Drăcea""",1,Facility,Romania,1933
BioSurfaces (United States),1,Company,United States,2003
National Institute for Public Health and the Environment,1,Facility,Netherlands,1910
Catholic University Los Angeles of Chimbote,1,Education,Peru,1985
Indiana University Southeast,1,Education,India,1941
Catholic Development Office,1,Other,Gambia,2001
National Institute for Mathematical Sciences,1,Education,South Korea,2005
National Institute for International Education,1,Government,South Korea,2008
Indiana Wesleyan University,1,Education,United States,1920
Indianapolis Zoo,1,Nonprofit,United States,1964
Indigenous Education Institute,1,Nonprofit,United States,1995
BioReka (United States),1,Company,United States,
Indian Institute of Wheat and Barley Research,1,Facility,India,2014
National Institute of Disaster Management,1,Government,India,1995
National Institute of Malaria Research,1,Facility,India,1977
National Institute of Science and Technology Policy,1,Facility,Japan,1988
BioLife Solutions (United States),1,Company,United States,1987
BioMarin (Netherlands),1,Company,Netherlands,1997
BioMed Central (United Kingdom),1,Company,United Kingdom,2000
Indian Institute of Management Lucknow,1,Education,India,1984
BioMed zet Life Science,1,Nonprofit,Austria,2009
Indian Institute of Management Udaipur,1,Education,India,2011
National Institute of Physical Education of Catalonia,1,Education,Spain,1967
National Institute of Pathology,1,Facility,India,1965
Indian Institute of Millets Research,1,Facility,India,1958
National Institute of Ocean Technology,1,Education,India,1993
Indian Institute of Plantation Management,1,Education,India,1993
National Institute of Meteorology,1,Facility,Tunisia,1974
Indian Institute of Remote Sensing,1,Government,India,1966
"Indian Institute of Science Education and Research, Tirupati",1,Education,India,2015
Indian Institute of Technology Kanpur,1,Education,India,1959
National Institute of Immunohaematology,1,Facility,India,2008
National Institute of Hydrology and Water Management,1,Government,Romania,1956
National Institute of Health of Thailand,1,Healthcare,Thailand,1963
National Institute of Health Sciences,1,Facility,Japan,1874
Indian Institute of Soil Science,1,Facility,India,1988
"National Institute of Geophysics, Geodesy and Geography",1,Facility,Bulgaria,2010
National Institute of Genomic Medicine,1,Government,Mexico,2004
National Institute of Genetics,1,Facility,Japan,1949
Indian Institute of Soil and Water Conservation,1,Facility,India,1974
Cattle Industry Development Council,1,Other,Canada,
BioNet Lab (Japan),1,Company,Japan,2010
Indian Institute of Technology BHU,1,Education,India,1919
Catholic University of the North,1,Education,Chile,1956
Indian Institute of Technology Dharwad,1,Education,India,2016
National Capital Commission,1,Government,Canada,1959
National Cancer Center,1,Healthcare,South Korea,2000
Institute for Natural Resources in Africa,1,Facility,Ghana,1986
Museum of Paleontology Egidio Feruglio,1,Archive,Italy,1990
Museum of History and Art,1,Archive,United States,
Carnegie Mellon University Africa,1,Education,Rwanda,2011
Institute Cancer De La Loire Lucien Neuwirth,1,Healthcare,France,2005
Institut für Wirtschaftsstudien Basel,1,Other,Switzerland,2007
Institut für Umwelttechnologien und Strahlenschutz (Germany),1,Company,Germany,2009
Institut für Stahlbau Leipzig (Germany),1,Company,Germany,1960
Museum of Science,1,Archive,United States,1830
Music and Arts University of the City of Vienna,1,Education,Austria,1938
Biostats (United States),1,Company,United States,2011
Museum of the City of Usti nad Labem,1,Archive,Czechia,1876
Institut für Soziale Infrastruktur,1,Education,Germany,1991
Carnival Corporation (United Kingdom),1,Company,United Kingdom,1972
Biosignatures (United Kingdom),1,Company,United Kingdom,2004
Museumslandschaft Hessen Kassel,1,Archive,Germany,
Institute For Smart Monitoring (United States),1,Company,United States,2015
Institute Society and Technology,1,Facility,Belgium,2000
Institute and Academy of Multimedia,1,Education,Slovenia,2000
Museu de Ciências Naturais da Fundação Zoobotânica do Rio Grande do Sul,1,Archive,Brazil,1954
Institute for Advanced Study in Toulouse,1,Education,France,2011
Museo di Valmaggia,1,Archive,Switzerland,1962
Carmel (Israel),1,Company,Israel,
Museo de Historia Natural Noel Kempff Mercado,1,Archive,Bolivia,1986
BiotaTools (Norway),1,Company,Norway,2008
Carlsbad City Library,1,Archive,United States,1916
Institute for Biomedical Research and Innovation,1,Facility,Italy,2019
Muscular Dystrophy Foundation,1,Nonprofit,Denmark,1971
Murray State University,1,Education,United States,1923
Institute for Biomedical and Pharmaceutical Research,1,Facility,Germany,
Biotechnical Services,1,Facility,United States,1985
Murphy Oil Corporation (United States),1,Company,United States,1950
Murmansk State Technical University,1,Education,Russia,1950
Institut für Medien- und Kommunikationspolitik,1,Facility,Germany,2006
Muskingum University,1,Education,United States,1837
Institut des Sciences de la Terre,1,Facility,France,2011
NARI Group (China),1,Facility,China,1973
Médecins Sans Frontières,1,Nonprofit,Spain,1971
Métis National Council,1,Other,Canada,1983
Münster University of Applied Sciences,1,Education,Germany,1971
N.A.Software (United Kingdom),1,Company,United Kingdom,1978
NAM System (Czechia),1,Company,Czechia,1990
NARD Institute,1,Facility,Japan,1972
Institut für Arbeitsmarkt und Berufsforschung,1,Facility,Germany,1967
Institut für Industrieaerodynamik,1,Other,Germany,1990
NASA Research Park,1,Facility,United States,1996
NATO Cooperative Cyber Defence Centre of Excellence,1,Facility,Estonia,2008
Institut du Développement Durable et des Ressources Aquatiques,1,Facility,France,1999
NAURA (China),1,Company,China,2001
NAVSYS (United States),1,Company,United States,1986
NBL Technovator Group (Japan),1,Company,Japan,1988
Mzuzu University,1,Education,Malawi,1997
Myrtle Avenue Brooklyn Partnership,1,Nonprofit,United States,1999
Mylan (United States),1,Company,United States,1961
Mylan (Germany),1,Company,Germany,1961
Myers-JDC-Brookdale Institute,1,Nonprofit,Israel,1974
Bioscientifica (United Kingdom),1,Company,United Kingdom,1996
Myelin Project,1,Nonprofit,United States,1989
Mycological Society of America,1,Other,United States,1932
Myasishchev Design Bureau (Russia),1,Company,Russia,1951
Institut für Grenzgebiete der Psychologie und Psychohygiene,1,Nonprofit,Germany,1950
Myanmar Oxford Clinical Research Unit,1,Nonprofit,Myanmar,2013
Myanmar Institute of Information Technology,1,Education,Myanmar,2015
Mwa Automação (Brazil),1,Company,Brazil,
Muğla University,1,Education,Turkey,1992
Mutuelle Générale de l'Éducation Nationale,1,Nonprofit,France,1946
Muttart Foundation,1,Nonprofit,Canada,1953
Musée de l'Homme,1,Archive,France,1937
Murmansk Regional Clinical Hospital,1,Healthcare,Russia,1947
Institute for Building Analysis and Reconstruction Planning,1,Other,Germany,1985
Biotechnology Institute,1,Nonprofit,United States,1998
Institute for Futures Studies,1,Facility,Sweden,1971
Institute for History of Natural Sciences,1,Facility,United States,1957
Morgan Advanced Materials (United Kingdom),1,Company,United Kingdom,1856
Institute for Global Engagement,1,Facility,United States,2000
Institute for Geological and Geochemical Research,1,Facility,Hungary,2012
"Institute for Genetics, Environment and Plant Protection",1,Facility,France,2012
Moroccan Agency For Solar Energy (Morocco),1,Company,Morocco,
Morphix Technologies (United States),1,Company,United States,1991
Municipality of Tai'an,1,Government,China,
Biotronik (Singapore),1,Company,Singapore,1963
Institute for Excellence and Ethics,1,Nonprofit,United States,2006
Biotronik (India),1,Company,India,1963
Institute for European Energy and Climate Policy,1,Nonprofit,Netherlands,2015
Morton College,1,Education,United States,1924
Institute for Environmental Solutions,1,Nonprofit,Latvia,2008
Moray Art Centre,1,Other,United Kingdom,2007
Moraine Valley Community College,1,Education,United States,1967
Moors for the Future Partnership,1,Other,United Kingdom,2002
Institute for Intergovernmental Research,1,Nonprofit,United States,1978
Caribbean University,1,Education,Haiti,1988
Montpelier Foundation,1,Archive,United States,1901
Montgomery County Memorial Library System,1,Archive,United States,1946
Biozeen (India),1,Company,India,2006
Institute for Learning Innovation (United States),1,Company,United States,1986
Monterey Institute for Research in Astronomy,1,Nonprofit,United States,1972
Bipea,1,Nonprofit,France,1970
Monterey Bay Aquarium Foundation,1,Archive,United States,1984
Institute for Medical Research,1,Nonprofit,United States,1989
Montana Tech of the University of Montana,1,Education,United States,1889
Montana State University System,1,Education,United States,
"Birkbeck, University of London",1,Education,United Kingdom,1823
Institute for Molecular Science,1,Facility,Japan,1975
Mosaic ATM (United States),1,Company,United States,2004
Moscow Power Engineering Institute,1,Education,Russia,1930
Carinthian Economic Promotion Fund,1,Nonprofit,Austria,1993
Biotest (United States),1,Company,United States,1946
Institute for Clinical and Economic Review,1,Nonprofit,United States,2005
Municipality of Amaroussion,1,Government,Greece,
Municipal de Óbidos,1,Government,Portugal,
Munich Center for Quantum Science and Technology,1,Education,Germany,
Multiscale Bioimaging,1,Education,Germany,
Institute for Culture and Ecology,1,Education,United States,1998
Mulier Institute,1,Other,Netherlands,2002
Mulawarman University,1,Education,Indonesia,1962
Institute for Democracy and Mediation,1,Nonprofit,Albania,1999
Institute for Design Problems in Microelectronics,1,Facility,Russia,1986
Biotechnology Research Center,1,Facility,Iran,2006
Institute for Development and International Relations,1,Other,Croatia,1963
Mountain Studies Institute,1,Nonprofit,United States,2002
Institute for Earth Science Research and Education,1,Facility,United States,
Mountain Data Group (United States),1,Company,United States,2017
Carinthian Tech Research,1,Facility,Austria,1997
Mount Washington Observatory,1,Facility,United States,1932
Mount Meru University,1,Education,Tanzania,1962
Mount Elizabeth Hospital,1,Healthcare,Singapore,1976
Mount Desert Island Biological Laboratory,1,Nonprofit,United States,1898
Institute for Energy Technology,1,Facility,Norway,1948
Mott Macdonald (United Kingdom),1,Company,United Kingdom,1989
Motran Research (Czechia),1,Company,Czechia,2007
Motor Oil (Greece),1,Company,Greece,1970
Motor Neurone Disease Association,1,Nonprofit,United Kingdom,1979
Mother and Teacher Pontifical Catholic University,1,Education,Dominican Republic,1962
Institute for Environmental Management,1,Nonprofit,United States,1992
Mosteiro de São Bento,1,Archive,Brazil,1598
Mosteiro da Batalha,1,Archive,Portugal,1385
Moss Rehabilitation Hospital,1,Healthcare,United States,1900
NBank,1,Other,Germany,2004
Institut des Sciences de l'Evolution de Montpellier,1,Facility,France,1995
Cascade (United States),1,Company,United States,1943
Bioneer (Denmark),1,Company,Denmark,2003
Institut Superieur Des Sciences De La Population,1,Facility,Burkina Faso,1991
Institut Sous-Régional de Statistique et d'Economie Appliquée,1,Education,Cameroon,1984
Institut Pro Studium Literatury,1,Nonprofit,Czechia,2010
Bionomics (Australia),1,Company,Australia,1998
National Agency for New Technologies Energy and Sustainable Economic Development,1,Facility,Italy,
Institut Privé de Gestion Institut Supérieur de Technologie Industrielle,1,Education,Senegal,1981
National Agency for Social Insurance,1,Government,Sweden,1955
National Alliance for Medication Assisted Recovery,1,Other,United States,1988
National Agrarian University,1,Education,Peru,1902
Carroll Shelby Foundation,1,Nonprofit,United States,1991
Biomotif (Sweden),1,Company,Sweden,
Institut Pasteur du Maroc,1,Facility,Morocco,1990
Institut Pasteur de Nouvelle Calédonie,1,Facility,New Caledonia,1955
Institut Néel,1,Facility,France,2007
National Academy of Sciences of Armenia,1,Government,Armenia,1943
National Academy of Sciences India,1,Education,India,1930
Biopac (United Kingdom),1,Company,United Kingdom,2000
Institut Supérieur Privé Polytechnique,1,Education,Burkina Faso,1988
Institut Supérieur Pédagogique de Gitwe,1,Education,Rwanda,
Biopdi (Brazil),1,Company,Brazil,2011
Nationaal Archief of the Netherlands,1,Archive,Netherlands,1802
Nathan Cummings Foundation,1,Other,United States,1949
Natama,1,Other,Czechia,2003
Nasson College,1,Education,United States,1912
Naskeo Environnement (France),1,Company,France,2006
Institut Supérieur de Gestion et de Planification,1,Other,Algeria,1984
Nasional University,1,Education,Indonesia,1949
Institut Supérieur de Plasturgie d'Alençon,1,Education,France,1934
Nanyang Technological University,1,Education,Singapore,1991
Nantong University,1,Education,China,1912
Institut Teknologi Adhi Tama Surabaya,1,Education,Indonesia,1963
Institut National des Sciences Appliquées de Rennes,1,Education,France,1966
Institut National des Postes et Télécommunications,1,Education,Morocco,1961
NCI Information Systems (United States),1,Company,United States,1989
National Board of Health,1,Government,Denmark,1909
Institut Français de la Mer,1,Education,France,
National Beef Cattle Industrial Technology System,1,Other,China,
Casa di cura Pierangeli,1,Healthcare,Italy,1935
Institut Européen De La Qualité Totale,1,Education,France,1989
National Biomedical Research Ethics Council,1,Government,United States,
National Black Graduate Student Association,1,Nonprofit,United States,1989
Institut Barcelona d'Estudis Internacionals,1,Education,Spain,2004
Biomendi (Spain),1,Company,Spain,1991
Biomedical Informatics Research Center Antwerp,1,Facility,Belgium,
Institut Africain d'Informatique,1,Education,Gabon,1971
Institución Universitaria Escuela Nacional del Deporte,1,Education,Colombia,1984
National Bureau of Animal Genetic Resources,1,Facility,India,1995
Institución Universitaria Colegio Mayor de Antioquia,1,Education,Colombia,1946
Inspiring Scotland,1,Nonprofit,United Kingdom,2008
National Bank of Canada,1,Other,Canada,1859
Biomedical Research Institute of Lleida,1,Facility,Spain,2004
National Azulejo Museum,1,Archive,Portugal,1965
Cartográfica de Canarias,1,Government,Spain,1989
Institut International des Assurances,1,Education,Cameroon,1972
National Atmospheric Research Laboratory,1,Government,India,1992
National Association of Television Program Executives Educational Foundation,1,Nonprofit,United States,1963
National Association of Research and Educational e-Infrastructures,1,Other,Russia,
Carthage College,1,Education,United States,1847
National Association of Chronic Disease Directors,1,Nonprofit,United States,1988
Institut National Agronomique de Tunisie,1,Education,Tunisia,1898
National Association for Research in Science Teaching,1,Facility,United States,1928
National Assembly of Zambia,1,Government,Zambia,1972
Institut National Polytechnique Félix Houphouët-Boigny,1,Education,Ivory Coast,1996
Institut National d'Aménagement et d'Urbanisme,1,Government,Morocco,1981
National Archive and Library of Bolivia,1,Archive,Bolivia,1836
Institut National de Recherche Forestière,1,Facility,Algeria,1981
Nansen Environmental Research Centre India,1,Facility,India,1999
Nanosystem (Russia),1,Company,Russia,2011
Institut Universitaire Quisqueya-Amérique,1,Education,Haiti,
NTI University,1,Education,Netherlands,1943
NLR Nepal,1,Nonprofit,Nepal,1977
Institut de Veille Sanitaire,1,Healthcare,France,1998
Institut de Technologie Alimentaire,1,Facility,Senegal,1963
Caron,1,Nonprofit,United States,
Institut de Recherche en Sciences de la Santé,1,Facility,Burkina Faso,
"Institut de Recherche en Santé, Environnement et Travail",1,Facility,France,2009
Institut de Recherche en Génie Civil et Mécanique,1,Facility,France,2004
Carroll College,1,Education,United States,1909
NTNU Social Research,1,Facility,Norway,2004
NTNU Technology Transfer (Norway),1,Company,Norway,2003
NTS (United States),1,Company,United States,1961
NTT (United States),1,Company,United States,1952
NVE Corporation (United States),1,Company,United States,1989
Institut de Recherche de Chimie Paris,1,Facility,France,2014
NLR India,1,Nonprofit,India,1999
NLA University College,1,Education,Norway,1968
NIS (United Kingdom),1,Company,United Kingdom,1983
NIMS University,1,Education,India,2009
Institut de l'Environnement et Recherches Agricoles,1,Facility,Burkina Faso,
NIHR Clinical Research Network,1,Government,United Kingdom,2006
NIHR Barts Cardiovascular Biomedical Research Unit,1,Government,United Kingdom,2012
NHS Research Scotland,1,Government,Scotland,1973
NHS Fife,1,Healthcare,United Kingdom,2004
NHK Spring (Japan),1,Company,Japan,1939
NGC Aerospace (Canada),1,Company,Canada,1998
Institut de l’Elevage,1,Nonprofit,France,1991
Biopterre,1,Nonprofit,Canada,2007
Institut der Wirtschaft Thüringens,1,Facility,Germany,2001
NEC (United Kingdom),1,Company,United Kingdom,1899
Bioscar,1,Facility,France,2014
NDE Technologies (United States),1,Company,United States,1997
Institut de Recherche Technologique SystemX,1,Facility,France,2012
NZ on Air,1,Government,New Zealand,1989
Institut de Recherche Robert-Sauvé en Santé et en Sécurité du Travail,1,Nonprofit,Canada,1980
Institut de Cancérologie de l'Ouest,1,Healthcare,France,2011
Nanomaterials Research (United States),1,Company,United States,1994
Nanobiotix (France),1,Company,France,2003
Nanobionics (Brazil),1,Company,Brazil,2012
Biopeptide (United States),1,Company,United States,1999
Nankai University,1,Education,China,1919
Nanjing Zhongyi Architectural Design Institute (China),1,Company,China,1996
Institut Universitari D'Estudis Europeus,1,Education,Spain,1985
Institut Universitari d'Investigació en Atenció Primària Jordi Gol,1,Other,Spain,1995
Nanjing Surveying and Mapping Research Institute (China),1,Company,China,2004
Institut de Biologie Paris-Seine,1,Facility,France,2014
Institut de Biologie de Lille,1,Facility,France,1996
Institut de Biologie de l'École Normale Supérieure,1,Facility,France,2010
Institut de Biologie et Technologies,1,Facility,France,
Nanjing Architecture Design and Research Institute,1,Facility,China,1956
Institut de Conseil et d'Études en Développement Durable,1,Nonprofit,Belgium,1961
Nabtesco (Japan),1,Company,Japan,2003
Nancy Lurie Marks Family Foundation,1,Nonprofit,United States,1977
Institut de Mathématique et de Modélisation de Montpellier,1,Facility,France,2003
Nanchang Institute of Science & Technology,1,Education,China,
Nanaji Deshmukh Veterinary Science University,1,Education,India,2009
Namibia University of Science and Technology,1,Education,Namibia,1994
Institut de Microbiologie de la Méditerranée,1,Facility,France,1991
Nakladatelství Triáda (Czechia),1,Company,Czechia,1994
Nakanishi (Japan),1,Company,Japan,1930
Nagoya University of Foreign Studies,1,Education,Japan,1988
Nagoya Institute of Technology,1,Education,Japan,1949
Nagoya City University,1,Education,Japan,1884
Nagaland University,1,Education,India,1989
Nafigate Corporation (Czechia),1,Company,Czechia,2011
Institut de Recherche Agronomique de Guinée,1,Government,Guinea,1989
Medical Developments International (Australia),1,Company,Australia,1971
Instituto de Ciencias de la Vid y del Vino,1,Facility,Spain,2008
Instituto de Ciências da Terra e do Espaço,1,Other,Portugal,1992
Laboratoire de la Mer,1,Facility,France,1988
CHR Verviers,1,Healthcare,Belgium,1993
Jabatan Perkhidmatan Awam Malaysia,1,Government,Malaysia,1934
Laboratoire de Cristallographie et RMN Biologiques,1,Facility,France,2000
Laboratoire de Génétique & Evolution des Populations Végétales,1,Facility,France,2012
Laboratoire de Recherche Scientifique,1,Nonprofit,France,2010
JXT Applications (United States),1,Company,United States,2002
Laboratoire des Multimatériaux et Interfaces,1,Facility,France,1995
CHA University,1,Education,South Korea,1996
Laboratoire des Sciences de l'Environnement Marin,1,Facility,France,1996
JVC Kenwood (Japan),1,Company,Japan,2008
JSS Medical Research (India),1,Company,India,2001
Laboratoire Écologie Fonctionnelle et Environnement,1,Facility,France,2007
Laboratori Guglielmo Marconi (Italy),1,Company,Italy,1990
JSR (Japan),1,Company,Japan,1957
Laboratoire de Biodiversité et Biotechnologies Microbiennes,1,Facility,France,2014
"Laboratoire d'Électronique, Antennes et Télécommunications",1,Facility,France,2012
Jacaranda Community Centre,1,Nonprofit,Australia,2000
Laboratoire d'Analyses Génétiques pour les Espèces Animales,1,Facility,France,1894
Laboratoire Univers et Particules de Montpellier,1,Facility,France,2011
"Laboratoire Politiques Publiques, Action Politique, Territoires",1,Facility,France,2003
Laboratoire Odost (France),1,Company,France,2000
Laboratoire Matière Molle et Chimie,1,Facility,France,2001
Laboratoire Interdisciplinaire Solidarités Sociétés Territoires,1,Facility,France,2003
Laboratoire Interdisciplinaire Carnot de Bourgogne,1,Facility,France,2012
Laboratoire Hubert Curien,1,Facility,France,1995
Laboratoire Excell,1,Facility,France,1992
Jack Kent Cooke Foundation,1,Other,United States,2000
CI&T (Brasil),1,Company,Brazil,1995
Cambridge College,1,Education,United States,1971
CIC biomaGUNE,1,Nonprofit,Spain,2006
Jackson Laboratory,1,Nonprofit,United States,1929
Laboratory for Atmospheric and Space Physics,1,Facility,United States,1948
JRC Capital Management (Germany),1,Company,Germany,1994
J. Armand Bombardier Foundation,1,Nonprofit,Canada,1965
Lagos State Polytechnic,1,Education,Nigeria,1977
Laerdal Foundation,1,Other,Norway,1980
Lafayette College,1,Education,United States,1826
Lafayette Science Museum,1,Archive,United States,1969
J.A. Woollam Company (United States),1,Company,United States,1987
Lagan Valley Hospital,1,Healthcare,United Kingdom,1947
Lagardère (France),1,Company,France,1992
Laguna Department of Education,1,Education,United States,
JP Group (Brazil),1,Company,Brazil,1966
Laidlaw Foundation,1,Other,Canada,1949
Lake Biwa Museum,1,Archive,Japan,
Lake Champlain Maritime Museum,1,Archive,United States,1985
J. F Maddox Foundation,1,Nonprofit,United States,1963
CH Foundation,1,Other,United States,1895
Lake District Hospital,1,Healthcare,United States,1971
J.M. Smucker Company (United States),1,Company,United States,1897
Lacrum Velké Meziříčí (Czechia),1,Company,Czechia,
JCPenney (United States),1,Company,United States,1902
Laboratório Teuto (Brazil),1,Company,Brazil,1947
JDLL (United States),1,Company,United States,
JDSU (United States),1,Company,United States,1999
Laboratório Bacchi,1,Facility,Brazil,1997
Laboratoř Monitoring Praha (Czechia),1,Company,Czechia,
JEHT Foundation,1,Nonprofit,United States,2000
Laboratory of Theoretical Biochemistry,1,Facility,France,1997
JF Kapnek Trust,1,Other,United States,1905
JGC (Japan),1,Company,Japan,1928
JMS (Japan),1,Company,Japan,1965
Cambridge Econometrics (United Kingdom),1,Company,United Kingdom,1985
Laboratory of Hydrology and Geochemistry,1,Facility,France,2009
JNCL-NCLIS,1,Nonprofit,United States,1972
Laboratory of Excellence GR-Ex,1,Facility,France,
Jackson State University,1,Education,United States,1877
CICERO Center for International Climate Research,1,Facility,Norway,1990
Jacksonville Public Library,1,Archive,United States,1878
Kurukshetra University,1,Education,India,1957
Kuopio University Hospital,1,Healthcare,Finland,1959
Kupu,1,Other,United States,2003
Kurashiki Archaeological Museum,1,Archive,Japan,1950
Japan Aerospace Exploration Agency,1,Facility,Japan,2003
CISI Ingénierie (France),1,Company,France,1973
Kurt J. Lesker (United Kingdom),1,Company,United Kingdom,1954
Camargo Foundation,1,Other,France,
Jacksonville State University,1,Education,United States,1883
Jane Bradley Pettit Foundation,1,Other,United States,
Kuwait University,1,Education,Kuwait,1966
Kvados (Czechia),1,Company,Czechia,1992
Kwame Nkrumah University of Science and Technology,1,Education,Ghana,1952
Kwangwoon University,1,Education,South Korea,1934
Kyambogo University,1,Education,Uganda,2003
California Walnut Growers Association,1,Other,United States,1987
